source,target,repository,tag,digest,pushedAt,lastRecordedPullTime,sizeBytes
php:8.4.22,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/php:8.4.22,dockerhub/library/php,8.4.22,sha256:ae63f0037ee2bf2f0870585829b350deb45c193e1c1beefb2b588485f86376f2,2026-06-11T06:47:51.066000+00:00,2026-06-11T07:31:09.087000+00:00,212752730
php:8.5.7,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/php:8.5.7,dockerhub/library/php,8.5.7,sha256:12ea29894439b82beab80dbe75eb17d4a5af939f27b32354adac5177ae13b760,2026-06-11T06:46:49.902000+00:00,2026-06-11T07:31:07.631000+00:00,215185721
postgres:18.3,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/postgres:18.3,dockerhub/library/postgres,18.3,sha256:7e32e9833a6fb1c92c32552794cb6ed569d51b445a54907d35fc112ef39684db,2026-06-11T01:28:57.575000+00:00,,176935697
postgres:18.3-alpine3.23,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/postgres:18.3-alpine3.23,dockerhub/library/postgres,18.3-alpine3.23,sha256:54451ecb8ab38c24c3ec123f2fd501303a3a1856a5c66e98cecf2460d5e1e9d7,2026-06-11T03:06:11.484000+00:00,,122306255
postgres:18.4,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/postgres:18.4,dockerhub/library/postgres,18.4,sha256:fd03421d521b789274856f57ba64914f8271255ef1415ac307cbc907121c8c7b,2026-06-11T06:56:38.134000+00:00,2026-06-11T07:31:08.074000+00:00,176998749
postgres:18.4-alpine3.22,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/postgres:18.4-alpine3.22,dockerhub/library/postgres,18.4-alpine3.22,sha256:774521500f4c22761b25a6bdb772a0a3c2e8dd32468210bdad9231c5752ea398,2026-06-11T01:28:56.462000+00:00,,122406071
public.ecr.aws/amazonlinux/amazonlinux:2023,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/ecrpublic/amazonlinux/amazonlinux:2023,ecrpublic/amazonlinux/amazonlinux,2023,sha256:df9ca26898d7c01be79e7c84bd008d5c8c867ace2c736421d150179f0aa87c33,2026-06-09T08:17:14.523000+00:00,2026-06-11T06:42:41.540000+00:00,54574964
python:3.13,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/python:3.13,dockerhub/library/python,3.13,sha256:e44a18830e14e9eae540c5adc180922810ff51f100010a00a7f27158edc5265f,2026-06-11T08:00:11.780000+00:00,,2338351197
python:3.13.14,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/python:3.13.14,dockerhub/library/python,3.13.14,sha256:a190a3da167d22daa1130716ef0ca3a05e0aad4784512b77f0b0e9cfa9966f29,2026-06-11T01:17:31.048000+00:00,,2338351197
python:3.13.14-alpine3.24,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/python:3.13.14-alpine3.24,dockerhub/library/python,3.13.14-alpine3.24,sha256:21ea1d9b51c14aacdd72e5fab4f728ac6d6dfb144796a265fff1f31abd92b422,2026-06-11T02:53:05.189000+00:00,,20288492
python:3.14.6,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/python:3.14.6,dockerhub/library/python,3.14.6,sha256:1245d8151f1fad782d0eda48652827f618b10cb0841f3d11e3c5bf46427e19a0,2026-06-11T01:17:48.897000+00:00,,2341736446
python:3.14.6-alpine3.24,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/python:3.14.6-alpine3.24,dockerhub/library/python,3.14.6-alpine3.24,sha256:a5d5c75488ac235e8ea61eb3912eb9e7191c63532a2c87dab313ad671908d314,2026-06-11T01:18:51.875000+00:00,,21122188
quay.io/argoproj/argocd:v3.3.11,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/argoproj/argocd:v3.3.11,quay/argoproj/argocd,v3.3.11,sha256:6a99869b4c614e04a6cd4d665cb0f6a6cf74a173ad56d6dd3451ea0a3762f3f2,2026-06-10T02:01:00.049000+00:00,2026-06-11T06:42:39.058000+00:00,201802959
quay.io/argoproj/argocd:v3.4.3,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/argoproj/argocd:v3.4.3,quay/argoproj/argocd,v3.4.3,sha256:b6d161b4984c4bffb8c02250252fdd17f23fa4e2aa25fada0e606e1fa08d2348,2026-06-10T01:56:13.675000+00:00,2026-06-11T07:14:36.478000+00:00,199803804
quay.io/jetstack/cert-manager-cainjector:v1.19.5,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/jetstack/cert-manager-cainjector:v1.19.5,quay/jetstack/cert-manager-cainjector,v1.19.5,sha256:507350a97271c5c4b6c7f8a5848d7c3ca3480c9ecd2406031a7f36c91f2558ab,2026-06-10T02:05:43.546000+00:00,2026-06-11T07:14:36.406000+00:00,12518986
quay.io/jetstack/cert-manager-cainjector:v1.20.2,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/jetstack/cert-manager-cainjector:v1.20.2,quay/jetstack/cert-manager-cainjector,v1.20.2,sha256:6f5a644135887b2aa7d5cc145072fa56421560e3586ff1f184358022d490f4e1,2026-06-10T02:04:57.155000+00:00,2026-06-11T07:14:36.774000+00:00,16377969
quay.io/jetstack/cert-manager-controller:v1.19.5,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/jetstack/cert-manager-controller:v1.19.5,quay/jetstack/cert-manager-controller,v1.19.5,sha256:79b40df51fe7be69fb4294942391230430a122818b21619655fe3a16c50c3dcc,2026-06-10T02:02:09.183000+00:00,2026-06-11T07:14:36.535000+00:00,23562849
quay.io/jetstack/cert-manager-controller:v1.20.2,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/jetstack/cert-manager-controller:v1.20.2,quay/jetstack/cert-manager-controller,v1.20.2,sha256:fe0623d7d04a382c888f03343a3a2da716e0d96ad3d5d790c0ebcbcb2a4329a5,2026-06-10T02:01:44.706000+00:00,2026-06-11T06:42:39.082000+00:00,23615442
quay.io/jetstack/cert-manager-webhook:v1.19.5,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/jetstack/cert-manager-webhook:v1.19.5,quay/jetstack/cert-manager-webhook,v1.19.5,sha256:26fd536762ecfabb4288aa6c2406f635aae04f7ef0e815514bfa24b48f3c96bf,2026-06-10T02:04:46.231000+00:00,2026-06-11T06:42:39.172000+00:00,19927973
quay.io/jetstack/cert-manager-webhook:v1.20.2,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/jetstack/cert-manager-webhook:v1.20.2,quay/jetstack/cert-manager-webhook,v1.20.2,sha256:baf651128b9f05c426cbd5e60e2036bf382c99ca270f49d0757d6f7d2452f4e5,2026-06-10T02:02:38.873000+00:00,2026-06-11T06:42:39.135000+00:00,19479101
quay.io/prometheus/alertmanager:v0.31.1,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/prometheus/alertmanager:v0.31.1,quay/prometheus/alertmanager,v0.31.1,sha256:88b605de9aba0410775c1eb3438f951115054e0d307f23f274a4c705f51630c1,2026-06-10T02:00:52.734000+00:00,2026-06-11T07:14:36.125000+00:00,39156813
quay.io/prometheus/alertmanager:v0.32.2,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/prometheus/alertmanager:v0.32.2,quay/prometheus/alertmanager,v0.32.2,sha256:b85533a2eb45865835315810315f6951331b2dbc8c93a6cf9a51e156a006a706,2026-06-10T01:52:02.247000+00:00,2026-06-11T06:42:38.717000+00:00,36961551
quay.io/prometheus/blackbox-exporter:v0.27.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/prometheus/blackbox-exporter:v0.27.0,quay/prometheus/blackbox-exporter,v0.27.0,sha256:a50c4c0eda297baa1678cd4dc4712a67fdea713b832d43ce7fcc5f9bea05094d,2026-06-10T01:54:32.210000+00:00,2026-06-11T07:14:36.411000+00:00,17612968
quay.io/prometheus/blackbox-exporter:v0.28.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/prometheus/blackbox-exporter:v0.28.0,quay/prometheus/blackbox-exporter,v0.28.0,sha256:e753ff9f3fc458d02cca5eddab5a77e1c175eee484a8925ac7d524f04366c2fc,2026-06-10T01:54:42.337000+00:00,2026-06-11T06:42:38.840000+00:00,18342208
quay.io/prometheus/node-exporter:v1.10.2,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/prometheus/node-exporter:v1.10.2,quay/prometheus/node-exporter,v1.10.2,sha256:337ff1d356b68d39cef853e8c6345de11ce7556bb34cda8bd205bcf2ed30b565,2026-06-10T01:54:03.095000+00:00,2026-06-11T06:42:38.816000+00:00,14018066
quay.io/prometheus/node-exporter:v1.11.1,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/prometheus/node-exporter:v1.11.1,quay/prometheus/node-exporter,v1.11.1,sha256:0f422f62c15f154af8d8572b23d623aebfb10cec73a5c654d18f911f3f9df241,2026-06-10T01:53:32.200000+00:00,2026-06-11T06:42:38.720000+00:00,14306601
quay.io/prometheus/prometheus:latest,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/prometheus/prometheus:latest,quay/prometheus/prometheus,latest,sha256:69f5241418838263316593f7274a304b095c40bcf22e57272865da91bd60a8ac,2026-06-09T08:19:01.492000+00:00,2026-06-11T07:14:36.247000+00:00,155513507
quay.io/prometheus/prometheus:v3.11.3,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/prometheus/prometheus:v3.11.3,quay/prometheus/prometheus,v3.11.3,sha256:c0b857aead0d5793aa566adb8f49a9983d6f6031652098759d521a330cfa050f,2026-06-10T01:53:00.014000+00:00,2026-06-11T07:14:36.143000+00:00,152914904
quay.io/prometheus/prometheus:v3.12.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/quay/prometheus/prometheus:v3.12.0,quay/prometheus/prometheus,v3.12.0,sha256:69f5241418838263316593f7274a304b095c40bcf22e57272865da91bd60a8ac,2026-06-09T08:19:01.492000+00:00,2026-06-11T07:14:36.247000+00:00,155513507
